Código do contrato,Nome do imóvel,Nome do proprietário,Bairro,Cidade,Estado,Número de inquilinos,Nome(s) do(s) inquilino(s),Número de proprietários/beneficiários,Nomes dos proprietários/beneficíarios,Valor do aluguel,Taxa de administração do contrato,Taxa de locação do contrato,Taxa de administração é valor fixo,Taxa de locação é valor fixo,Data de início do contrato,Data do fim do contrato,Valor de venda do imóvel,Data de recisão,Contrato ativo,Número de locações do imóvel,Data do último reajuste,Contrato suspenso,Gerente comercial,Tipo de imóvel,Tipo de contrato,Tempo de contrato,Tempo para fim do contrato,Valor taxa de administração,Valor taxa de locação
212/1,"Casa No Vila Manoel Ferreira, Praça Orazil Seixas 205 ",Paolo,Vila Manoel Ferreira,Campinas,SP,1,['Ademir Soares'],2,Paolo,5040.2,10.0,0.0,Não,Não,2019-02-28,2024-02-27,0.0,,Sim,1,2023-02-28,Sim,,Casa,Residencial,1653,172.0,504.02,0.0
261/2,"Casa No Nova Campinas, Praça Franklin Delano Roosevelt 22  Nada ",Rodrigo Barros,Nova Campinas,Campinas,SP,1,['Gui teste'],6,Rodrigo Barros,1500.0,10.0,,Não,Não,2021-09-01,2024-02-29,12213214.0,,Sim,2,2021-09-01,Sim,,Casa,Residencial,737,174.0,150.0,
uru100/1,"Apartamento No Parque Rural Fazenda Santa Cândida, Rua Arquiteto José Augusto Silva",Joana Dark,Parque Rural Fazenda Santa Cândida,Campinas,SP,1,['Black Alien'],1,Joana Dark,1092.41,10.0,0.0,Não,Sim,2020-01-01,2024-02-29,0.0,,Sim,1,2023-01-01,Sim,,Apartamento,Comercial,1346,174.0,109.24100000000001,0.0
297/1,"Chácara No Jardim Dos Oliveiras, Rua Itapuí 78956 ",Fiadteste Dois,Jardim Dos Oliveiras,Campinas,SP,1,['Base Software'],1,Fiadteste Dois,1000.0,10.0,100.0,Não,Sim,2021-09-01,2024-02-29,,,Sim,1,2021-09-01,Sim,,Chácara,Residencial,737,174.0,100.0,100.0
liga1000/1,"Casa No São José, Travessa Ligação 1000 ",Prop 1,São José,Belford Roxo,RJ,1,['inq 1'],1,Prop 1,1800.0,10.0,0.0,Não,Sim,2021-09-01,2024-02-29,,,Sim,1,2021-09-01,Sim,,Casa,Residencial,737,174.0,180.0,0.0
256/1,"Barracão No Parque Das Indústrias (Nova Veneza), Rua Serra Negra 26 ",Gabrielly Fabiana Alícia Aparício,Parque Das Indústrias (Nova Veneza),Sumaré,SP,1,['Base Software'],2,Gabrielly Fabiana Alícia Aparício,9500.0,10.0,0.0,Não,Sim,2021-09-01,2024-02-29,,,Sim,1,2021-09-01,Sim,,Barracão,Residencial,737,174.0,950.0,0.0
263/1,"Apartamento No Jardim Turim, Rua Movimento Jovem 180 ",Fiadteste Dois,Jardim Turim,Indaiatuba,SP,1,['Ademir Soares'],2,Fiadteste Dois,100.0,0.0,0.0,Não,Não,2021-09-01,2024-02-29,,,Sim,1,2021-09-01,Sim,,Apartamento,Residencial,737,174.0,0.0,0.0
253/1,"Casa No Jardim Recanto Dos Sonhos, Rua José Vieira Dos Santos 6030 ",Gael Marcos Vinicius Pereira,Jardim Recanto Dos Sonhos,Sumaré,SP,1,['Alice Elza Aurora Araújo'],2,Gael Marcos Vinicius Pereira,1000.0,10.0,0.0,Não,Sim,2021-09-01,2024-02-29,,,Sim,1,2021-09-01,Sim,,Casa,Residencial,737,174.0,100.0,0.0
165/2,"Chácara No Parque Das Alamedas, Travessa Dois 10 ",Emicida,Parque Das Alamedas,Guaratinguetá,SP,1,['Ademir Soares'],1,Emicida,718.41,0.0,0.0,Não,Sim,2021-03-08,2024-03-07,,,Sim,2,2023-03-08,Sim,,Chácara,Residencial,914,181.0,0.0,0.0
346/1,"Fazenda No Jardim Dos Oliveiras, Rua Tupã 9568 ",Carla M,Jardim Dos Oliveiras,Campinas,SP,1,['Guilherme Bonfim'],1,Carla M,2000.0,0.0,0.0,Não,Sim,2021-09-14,2024-03-13,,,Sim,1,2021-12-14,Sim,,Fazenda,Residencial,724,187.0,0.0,0.0
298/1,"Casa No Jardim Recanto Dos Sonhos, Rua José Vieira Dos Santos 150 ",Kamilly Ester Rocha,Jardim Recanto Dos Sonhos,Sumaré,SP,1,['Aline Freitas'],1,Kamilly Ester Rocha,1000.0,10.0,0.0,Não,Sim,2021-09-15,2024-03-14,,,Sim,1,2021-09-01,Sim,,Casa,Residencial,723,188.0,100.0,0.0
742/1,"Casa Assobradada No Cidade Monções, Rua Francisco Branco Capozzi 54 ",Francisco Luiz,Cidade Monções,São Paulo,SP,2,"['Ademir Soares', 'Teodoro Queiroz Guarinello']",1,Francisco Luiz,2718.18,10.0,0.0,Não,Sim,2021-09-20,2024-03-19,0.0,,Sim,1,2022-09-20,Sim,,Casa assombrada,Residencial,718,193.0,271.818,0.0
190/4,"Casa No São Martins, Rua Dos Cristais 10 ",Thiago Camargo Betti,São Martins,Piracaia,SP,1,['Calango Teste'],1,Thiago Camargo Betti,799.66,7.0,0.0,Não,Sim,2021-09-24,2024-03-23,0.0,,Sim,4,2022-09-01,Sim,,Casa,Residencial,714,197.0,55.976200000000006,0.0
571/1,"Chácara No Anajas, Avenida Marechal Floriano Peixoto 42 ",Proprietário Teste 1,Anajas,Anajás,PA,1,['Adão Santos'],3,Proprietário Teste 1,2075.0,10.0,0.0,Não,Sim,2021-10-01,2024-03-31,,,Sim,1,2022-10-01,Sim,,Chácara,Residencial,707,205.0,207.5,0.0
375/1,"Casa No Jardim Ermida Ii, Rua Flávio Santoro",Santiaguito,Jardim Ermida Ii,Jundiaí,SP,1,['...'],1,Santiaguito,1000.0,10.0,0.0,Não,Sim,2021-10-01,2024-03-31,,,Suspenso,1,2021-10-31,Não,,Casa,Residencial,707,205.0,100.0,0.0
294/1,"Barracão No Jardim Dos Oliveiras, Rua Itararé",Fiadteste Dois,Jardim Dos Oliveiras,Campinas,SP,1,['Aline Freitas'],1,Fiadteste Dois,45890.0,0.0,120.0,Não,Sim,2021-10-01,2024-03-31,,,Sim,1,2021-10-31,Sim,,Barracão,Residencial,707,205.0,0.0,120.0
292/2,"Conjunto No Jardim Dos Oliveiras, Rua Itapuí",Rede Vistoriass,Jardim Dos Oliveiras,Campinas,SP,1,['Black Alien'],1,Rede Vistoriass,1623.17,15.0,0.0,Não,Sim,2021-10-01,2024-03-31,,,Sim,2,2022-10-31,Sim,,Conjunto,Residencial,707,205.0,243.4755,0.0
265/2,"Outro No Vila Aurocan, Rua Jorgete Nazário De Melo 85 ",Joana Dark,Vila Aurocan,Campinas,SP,1,['Ademir Soares'],1,Joana Dark,700.0,0.0,0.0,Não,Sim,2021-10-04,2024-04-03,0.0,,Sim,2,2021-10-01,Sim,,Outro,Residencial,704,208.0,0.0,0.0
77/4,"Casa No Loteamento Parque São Martinho, Avenida São José Dos Campos",Santiaguito,Loteamento Parque São Martinho,Campinas,SP,1,"['Nossa mai, NOOOOSSAAAAAAA não sei']",3,Santiaguito,10000.0,10.0,0.0,Não,Não,2019-04-01,2024-04-04,0.0,,Sim,4,2021-04-01,Sim,,Casa,Residencial,1621,209.0,1000.0,0.0
280/2,"Apartamento No Jardim Rosemary, Rua Soldado Juvenal Alves Correia 3900  Apto ",Vitor Souza,Jardim Rosemary,Santa Bárbara D'Oeste,SP,1,['Base Software'],1,Vitor Souza,950.0,10.0,20.0,Não,Não,2021-10-05,2024-04-04,180000.0,,Sim,2,2021-10-31,Sim,,Apartamento,Residencial,703,209.0,95.0,190.0
277/1,"Casa No Nova Descoberta, Rua Presbítero Expedito Neri 555 ",Teste 3,Nova Descoberta,Natal,RN,1,['teste 5'],3,Teste 3,835.82,10.0,0.0,Não,Não,2021-10-05,2024-04-04,,,Sim,1,2022-10-05,Sim,,Casa,Residencial,703,209.0,83.58200000000001,0.0
422/1,"Casa No Jardim Petrópolis, Rua Joaquim Vieira 256 ",Joana Dark,Jardim Petrópolis,Campinas,SP,1,['Blue Ivy'],1,Joana Dark,6957.02,10.0,0.0,Não,Não,2021-10-13,2024-04-12,0.0,,Sim,1,2022-10-13,Sim,,Casa,Residencial,695,217.0,695.7020000000001,0.0
293/1,"Apartamento No Jardim Dos Oliveiras, Rua Itapuí 968 ",Prefeitura,Jardim Dos Oliveiras,Campinas,SP,1,['Alice Elza Aurora Araújo'],1,Prefeitura,8956.0,0.0,100.0,Não,Sim,2021-10-13,2024-04-12,,,Sim,1,2021-10-31,Sim,,Apartamento,Residencial,695,217.0,0.0,100.0
269/1,"Conjunto No Jardim Bom Retiro (Nova Veneza), Rua Raimundo Alves Diniz, 365 - Bom Retiro 365 ",Joana Dark,Jardim Bom Retiro (Nova Veneza),Sumaré,SP,1,['Base Software'],1,Joana Dark,2089.55,0.0,0.0,Não,Sim,2021-10-13,2024-04-12,0.0,,Sim,1,2022-10-13,Sim,,Conjunto,Residencial,695,217.0,0.0,0.0
309/1,"Casa Em Condomínio No Botafogo, Rua Falcão Filho 45 ",Isabelle Luana Teixeira,Botafogo,Campinas,SP,1,['Ademir Soares'],1,Isabelle Luana Teixeira,1000.0,10.0,,Não,Não,2021-10-15,2024-04-14,0.0,,Sim,1,2021-10-31,Sim,,Casa em condomínio,Residencial,693,219.0,100.0,
249/3,"Casa No Paratibe, Rua Dos Tucanos 1234 ",Propteste Quatro,Paratibe,João Pessoa,PB,1,['Locteste Cinco'],1,Propteste Quatro,24635.2,10.0,0.0,Não,Não,2021-10-20,2024-04-19,0.0,,Sim,3,2022-10-20,Sim,,Casa,Residencial,688,224.0,2463.5200000000004,0.0
275/2,"Casa No Jardim Dos Oliveiras, Rua Edmundo Plácido Chiavegatto 95 ",Fiadteste Dois,Jardim Dos Oliveiras,Campinas,SP,1,['Aline Freitas'],1,Fiadteste Dois,2075.0,10.0,0.0,Não,Não,2021-10-29,2024-04-28,,,Sim,2,2021-10-31,Sim,,Casa,Residencial,679,233.0,207.5,0.0
51/2,"Casa No Bairro Da Gi, Rua Da Gi",Carlos Alberto De Nóbrega Praça,Bairro Da Gi,Cidade Da Gi,SP,1,['Ademir Soares'],2,Carlos Alberto De Nóbrega Praça,1000.0,10.0,0.0,Não,Sim,2021-11-01,2024-04-30,0.0,,Sim,2,2021-11-01,Sim,,Casa,Residencial,676,235.0,100.0,0.0
374/1,"Casa No Santa Tereza, Jardim Das Oliveiras",Santiaguito,Santa Tereza,Campinas,SP,1,['Alice Elza Aurora Araújo'],1,Santiaguito,1000.0,10.0,0.0,Não,Sim,2021-11-01,2024-04-30,,,Sim,1,2021-11-01,Sim,,Casa,Residencial,676,235.0,100.0,0.0
teste tx adm/1,"Casa No Conta, Teste",Teste De Conta Corrente,Conta,Corrente,AC,1,['Gutinho do sorvetinho'],1,Teste De Conta Corrente,1000.0,15.0,0.0,Sim,Sim,2021-11-01,2024-04-30,0.0,,Sim,1,2021-11-01,Sim,,Casa,Residencial,676,235.0,15.0,0.0
360/2,"Casa No Avenida Não Estou Aqui, Rua Edosvlado",Santiaguito,Avenida Não Estou Aqui,Campinas,SP,1,['Ademir Soares'],1,Santiaguito,107.14,10.0,0.0,Não,Não,2021-11-01,2024-04-30,,,Sim,2,2022-11-01,Sim,,Casa,Residencial,676,235.0,10.714,0.0
329/1,"Casa No Jardim Recanto Dos Sonhos, Rua José Vieira Dos Santos 678A ",Maria Kamilly Raquel Santos,Jardim Recanto Dos Sonhos,Sumaré,SP,1,['Alice Elza Aurora Araújo'],1,Maria Kamilly Raquel Santos,6530.0,40.0,0.0,Não,Sim,2021-11-01,2024-04-30,,,Sim,1,2021-11-01,Sim,,Casa,Residencial,676,235.0,2612.0,0.0
316/1,"Casa No Vila Aurocan, Rua Jorgete Nazário De Melo",Icaro  Gerente,Vila Aurocan,Campinas,SP,1,['Base Software'],1,Icaro  Gerente,1500.0,8.0,0.0,Não,Não,2021-11-01,2024-04-30,300000.0,,Sim,1,2022-11-01,Sim,"[{'id_pessoa_pes': '281', 'st_fantasia_pes': 'Fátima Sara Moura', 'st_email_pes': 'isadora-cei@tuamaeaquelaursa.com', 'st_cnpj_pes': '46145579293', 'st_celular_pes': '', 'fl_naodomiciliado_pes': '0', 'is_gerente_con': '1'}]",Casa,Residencial,676,235.0,120.0,0.0
314/1,"Casa No Centro, Avenida Sete De Setembro 6262 ",Pedro Kevin Geraldo Aparício,Centro,Sumaré,SP,1,['Bárbara Patrão'],1,Pedro Kevin Geraldo Aparício,2000.0,15.0,0.0,Não,Sim,2021-11-01,2024-04-30,12506626.0,,Sim,1,2021-11-01,Sim,,Casa,Residencial,676,235.0,300.0,0.0
313/1,"Casa No Jardim Recanto Dos Sonhos, Rua José Vieira Dos Santos 1509 ",Pedro Kevin Geraldo Aparício,Jardim Recanto Dos Sonhos,Sumaré,SP,1,['Iago Arthur Osvaldo Pires'],1,Pedro Kevin Geraldo Aparício,1500.0,10.0,0.0,Não,Sim,2021-11-01,2024-04-30,,,Sim,1,2021-11-01,Sim,,Casa,Residencial,676,235.0,150.0,0.0
308/1,"Casa No Jardim Recanto Dos Sonhos, Rua José Vieira Dos Santos 603 ",Tomás Francisco Da Silva,Jardim Recanto Dos Sonhos,Sumaré,SP,1,['Clara e Fábio Adega ME'],1,Tomás Francisco Da Silva,10000.0,10.0,0.0,Não,Sim,2021-11-01,2024-04-30,,,Sim,1,2021-11-01,Sim,,Casa,Residencial,676,235.0,1000.0,0.0
307/1,"Barracão No Jardim Recanto Dos Sonhos, Rua Paulo Francisco Ferraz 560 ",Manuel Antonio Porto,Jardim Recanto Dos Sonhos,Sumaré,SP,1,['Kaique e Lívia Entulhos Ltda'],1,Manuel Antonio Porto,16200.0,10.0,0.0,Não,Sim,2021-11-01,2024-04-30,,,Sim,1,2021-11-01,Sim,,Barracão,Residencial,676,235.0,1620.0,0.0
305/1,"Casa No Jardim Recanto Dos Sonhos, Rua José Vieira Dos Santos 652 ",Diego Caio Mateus Fogaça,Jardim Recanto Dos Sonhos,Sumaré,SP,1,['Yuri e Nair Filmagens ME'],1,Diego Caio Mateus Fogaça,10000.0,6.0,0.0,Não,Sim,2021-11-01,2024-04-30,,,Sim,1,2021-11-01,Sim,,Casa,Residencial,676,235.0,600.0,0.0
304/1,"Apartamento No Jardim Recanto Dos Sonhos, Rua José Vieira Dos Santos 565  Bloco A Apto. 52 ",Amanda Renata Costa,Jardim Recanto Dos Sonhos,Sumaré,SP,1,['Aline Freitas'],3,Amanda Renata Costa,1000.0,10.0,0.0,Não,Sim,2021-11-01,2024-04-30,,,Sim,1,2021-11-01,Sim,,Apartamento,Residencial,676,235.0,100.0,0.0
287/1,"Área Comum No Bairro Bairro, Rua Rua",Luiz Da Silva Silva,Bairro Bairro,Cidade,AC,1,['Base Software'],1,Luiz Da Silva Silva,310.0,10.0,0.0,Não,Sim,2021-11-01,2024-04-30,,,Sim,1,2022-11-01,Sim,,Área comum,Residencial,676,235.0,31.0,0.0
281/2,"Casa No Jardim Planalto, Rua Manoel De Souza 563 ",Ingrid Natsumi Braga,Jardim Planalto,Paulínia,SP,3,"['Ademir Soares', 'Icaro  gerente', 'Gui teste']",2,Ingrid Natsumi Braga,1600.0,5.0,,Não,Não,2021-11-01,2024-04-30,0.0,,Sim,2,2021-11-01,Sim,,Casa,Residencial,676,235.0,80.0,
415/1,"Escritório No Cidade Satélite Íris, Rua Gertrudes Moro Rossin 10 ",Luiz Da Silva Silva,Cidade Satélite Íris,Campinas,SP,1,['Ademir Soares'],1,Luiz Da Silva Silva,2100.0,10.0,0.0,Não,Sim,2021-11-03,2024-05-02,0.0,,Sim,1,2021-11-03,Sim,,Escritório,Residencial,674,237.0,210.0,0.0
284/1,"Apartamento No Loteamento Residencial Jaguari (Sousas), Rua Presbítero Expedito Neri 555 ",Gt Emprrendimentos Imobiliários,Loteamento Residencial Jaguari (Sousas),Natal,SP,1,['Alice Elza Aurora Araújo'],2,Gt Emprrendimentos Imobiliários,1000.0,0.0,,Não,Não,2021-11-03,2024-05-02,,,Sim,1,2021-11-01,Sim,,Apartamento,Residencial,674,237.0,0.0,
283/1,"Casa No Inácio Barbosa, Travessa Metal Norte 14777 ",Propteste Cc,Inácio Barbosa,Aracaju,SE,1,['Locteste Cinco'],1,Propteste Cc,10000.0,10.0,0.0,Não,Sim,2021-11-03,2024-05-02,,,Sim,1,2021-11-01,Sim,,Casa,Residencial,674,237.0,1000.0,0.0
282/1,"Casa No São Martins, Rua Dos Cristais 10 ",Thiago Camargo Betti,São Martins,Piracaia,SP,1,['Ademir Soares'],1,Thiago Camargo Betti,1003.0,100.0,0.0,Não,Sim,2021-11-04,2024-05-03,0.0,,Sim,1,2021-11-01,Sim,,Casa,Residencial,673,238.0,1003.0,0.0
marcio1/1,"Fazenda No Centro, Rua Uruguaiana 299 ",Isabel Clara Ramos,Centro,Rio De Janeiro,RJ,1,['Ademir Soares'],1,Isabel Clara Ramos,8000.0,10.0,,Não,Não,2021-11-08,2024-05-07,0.0,,Sim,1,2022-11-08,Sim,,Fazenda,Residencial,669,242.0,800.0,
296/1,"Casa No Jardim Esperança, Rua 1 2222 ",Propqwert,Jardim Esperança,Três Lagoas,MS,1,['Locteste Cinco'],2,Propqwert,10000.0,10.0,0.0,Não,Sim,2021-11-10,2024-05-09,,,Sim,1,2021-11-01,Sim,,Casa,Residencial,667,244.0,1000.0,0.0
420/1,"Casa No Jardim Bom Retiro (Nova Veneza), Rua Raimundo Alves Diniz 621 ",Olavio Teves,Jardim Bom Retiro (Nova Veneza),Sumaré,SP,1,['Cabrito Teves'],1,Olavio Teves,2000.0,190.61,0.0,Sim,Sim,2021-11-17,2024-05-16,,,Sim,1,2021-11-17,Sim,,Casa,Residencial,660,251.0,190.61,0.0
x/3,"Casa No Bela Vista, Avenida Paulista 12 ",Teste De Ir Locatário,Bela Vista,São Paulo,SP,1,['Bruna Silva Teste'],1,Teste De Ir Locatário,23740.62,10.0,0.0,Não,Sim,2021-11-17,2024-05-16,0.0,,Sim,3,2021-11-01,Sim,,Casa,Residencial,660,251.0,2374.062,0.0
Teste 0008/5,"Casa No Vila Moreninha Iii, Travessa Cica 333 ",Propteste Tres,Vila Moreninha Iii,Campo Grande,MS,1,['Locteste Cinco'],1,Propteste Tres,11000.0,10.0,0.0,Não,Sim,2021-11-19,2024-05-18,0.0,,Sim,5,2021-11-01,Sim,,Casa,Residencial,658,253.0,1100.0,0.0
310/1,"Casa No Jardim Recanto Dos Sonhos, Rua José Vieira Dos Santos 605 ",Natália Sabrina Galvão,Jardim Recanto Dos Sonhos,Sumaré,SP,1,['Alice Elza Aurora Araújo'],1,Natália Sabrina Galvão,1700.0,10.0,0.0,Não,Sim,2021-11-22,2024-05-21,,,Sim,1,2022-11-22,Sim,,Casa,Residencial,655,256.0,170.0,0.0
288/2,"Conjunto No Jardim Dos Oliveiras, Rua Edmundo Plácido Chiavegatto 56 ",Rede Vistoriass,Jardim Dos Oliveiras,Campinas,SP,1,['Black Alien'],1,Rede Vistoriass,1500.0,0.0,0.0,Não,Sim,2021-11-22,2024-05-21,,,Sim,2,2021-11-01,Sim,,Conjunto,Residencial,655,256.0,0.0,0.0
39/5,"Apartamento No Vila Teixeira, Rua Joaquim Vilac 33  .. ",Prefeitura,Vila Teixeira,Campinas,SP,1,['Base Software'],2,Prefeitura,1231.39,10.0,0.0,Não,Sim,2021-11-22,2024-05-21,0.0,,Sim,5,2022-11-22,Sim,,Apartamento,Residencial,655,256.0,123.13900000000001,0.0
290/2,"Galpão No Jardim Dos Oliveiras, Rua Itapuí 956 ",Gt Emprrendimentos Imobiliários,Jardim Dos Oliveiras,Campinas,SP,1,['Alice Elza Aurora Araújo'],1,Gt Emprrendimentos Imobiliários,9000.0,0.0,0.0,Não,Sim,2021-11-24,2024-05-23,,,Sim,2,2021-11-01,Sim,,Galpão,Residencial,653,258.0,0.0,0.0
320/9,"Casa No Jardim Planalto, Rua Manoel De Souza 563 ",Ingrid Natsumi Braga,Jardim Planalto,Paulínia,SP,1,['Ademir Soares'],2,Ingrid Natsumi Braga,1600.0,10.0,1600.0,Não,Sim,2021-11-25,2024-05-24,0.0,,Sim,9,2021-11-01,Sim,,Casa,Residencial,652,259.0,160.0,1600.0
liga899/2,"Casa No São José, Travessa Ligação 899 ",Marcio Superlogica,São José,Belford Roxo,RJ,1,['Base Software'],1,Marcio Superlogica,800.0,10.0,0.0,Não,Sim,2021-11-26,2024-05-25,,,Sim,2,2022-11-26,Sim,,Casa,Residencial,651,260.0,80.0,0.0
353/1,"Casa No Jardim Planalto, Rua Manoel De Souza 563 ",Ingrid Natsumi Braga,Jardim Planalto,Paulínia,SP,1,['Bárbara Patrão'],2,Ingrid Natsumi Braga,1600.0,10.0,1600.0,Não,Sim,2021-11-29,2024-05-28,0.0,,Sim,1,2021-11-29,Sim,,Casa,Residencial,648,263.0,160.0,1600.0
326/1,"Casa No Parque Florely (Nova Veneza), Rua Nossa Senhora Aparecida 456 ",Fiadteste Dois,Parque Florely (Nova Veneza),Sumaré,SP,1,['Aline Freitas'],1,Fiadteste Dois,2199.85,10.0,0.0,Não,Sim,2021-11-29,2024-05-28,0.0,,Sim,1,2021-11-01,Sim,,Casa,Residencial,648,263.0,219.985,0.0
322/1,"Casa No Nova Campinas, Praça Franklin Delano Roosevelt 11 ",Rodrigo Barros,Nova Campinas,Campinas,SP,1,['Ademir Soares'],2,Rodrigo Barros,1512.0,8.0,0.0,Não,Sim,2021-11-30,2024-05-29,,,Sim,1,2021-11-01,Sim,,Casa,Residencial,647,264.0,120.96000000000001,0.0
289/2,"Área Comum No Jardim Dos Oliveiras, Rua Edmundo Plácido Chiavegatto 98 ",Prefeitura,Jardim Dos Oliveiras,Campinas,SP,1,['Ademir Soares'],1,Prefeitura,1200.0,0.0,0.0,Não,Sim,2021-11-30,2024-05-29,,,Sim,2,2021-11-01,Sim,,Área comum,Residencial,647,264.0,0.0,0.0
May001/1,"Casa No Comendador Soares, Rua Célia 134  C2 ",Mayara Oliveira P,Comendador Soares,Nova Iguaçu,RJ,1,['Mayara Oliveira I'],1,Mayara Oliveira P,750.0,75.0,0.0,Sim,Sim,2023-06-01,2024-05-31,0.0,,Sim,1,2023-06-01,Sim,,Casa,Residencial,99,266.0,75.0,0.0
557/1,"Casa No Vila Aeroporto, Rua Jakeri 25 ",Tony Stark,Vila Aeroporto,Campinas,SP,3,"['Jovelina Perola Negra', 'Joana dark', 'Tiny Turner']",1,Tony Stark,1000.0,10.0,0.0,Não,Sim,2021-12-01,2024-05-31,,,Sim,1,2021-12-01,Sim,,Casa,Residencial,646,266.0,100.0,0.0
Casa teste Thais/1,"Casa No Parque Das Universidades, Rua Luíza De Mello Bueno 550 ",Idalina Rosa,Parque Das Universidades,Campinas,SP,1,['Harry Poter'],1,Idalina Rosa,1500.0,10.0,100.0,Não,Não,2021-12-01,2024-05-31,0.0,,Sim,1,2021-12-01,Sim,,Casa,Residencial,646,266.0,150.0,1500.0
uru703/1,"Casa No Centro, Rua Uruguaiana 703 ",José Datena,Centro,Rio De Janeiro,RJ,1,['Little Michael'],1,José Datena,8000.0,10.0,,Não,Não,2021-12-01,2024-05-31,,,Sim,1,2021-12-01,Sim,,Casa,Residencial,646,266.0,800.0,
uru702/1,"Casa No Centro, Rua Uruguaiana 702 ",Tony Stark,Centro,Rio De Janeiro,RJ,1,['Little Michael'],1,Tony Stark,9000.0,10.0,0.0,Não,Não,2021-12-01,2024-05-31,0.0,,Sim,1,2021-12-01,Sim,,Casa,Residencial,646,266.0,900.0,0.0
uru803/1,"Casa No Centro, Rua Uruguaiana 803 ",Marcos Valle,Centro,Rio De Janeiro,RJ,1,['Martinho da Villa'],1,Marcos Valle,90000.0,10.0,,Não,Não,2021-12-01,2024-05-31,0.0,,Sim,1,2021-12-01,Sim,,Casa,Residencial,646,266.0,9000.0,
uru802/1,"Casa No Centro, Rua Uruguaiana 802 ",Marcos Valle,Centro,Rio De Janeiro,RJ,1,['Roberto Ribeiro'],1,Marcos Valle,90000.0,10.0,0.0,Não,Não,2021-12-01,2024-05-31,,,Sim,1,2021-12-01,Sim,,Casa,Residencial,646,266.0,9000.0,0.0
uru801/1,"Casa No Centro, Rua Uruguaiana 801 ",Benito Di Paula,Centro,Rio De Janeiro,RJ,1,['Gal Costa'],1,Benito Di Paula,8000.0,10.0,,Não,Não,2021-12-01,2024-05-31,0.0,,Sim,1,2021-12-01,Sim,,Casa,Residencial,646,266.0,800.0,
uru800/1,"Casa No Centro, Rua Uruguaiana 800 ",Benito Di Paula,Centro,Rio De Janeiro,RJ,1,['Maria Bethania'],1,Benito Di Paula,8000.0,10.0,,Não,Não,2021-12-01,2024-05-31,,,Sim,1,2021-12-01,Sim,,Casa,Residencial,646,266.0,800.0,
386/1,"Casa No Teste Dimob, Teste Dimob 243 ",Proprietário De Teste Da Dimob,Teste Dimob,Campinas,SP,1,['Locatário da DIMOB'],1,Proprietário De Teste Da Dimob,3000.0,10.0,0.0,Não,Sim,2021-12-01,2024-05-31,0.0,,Sim,1,2022-12-01,Sim,,Casa,Residencial,646,266.0,300.0,0.0
385/1,"Casa No Jffgjgfjjfgjf, Asdadasdasdasfasfsagasg",Fiadteste Dois,Jffgjgfjjfgjf,Jfgjfgjgf,AC,1,['Alice Elza Aurora Araújo'],1,Fiadteste Dois,1100.0,10.0,0.0,Não,Não,2021-12-01,2024-05-31,,,Sim,1,2021-12-01,Sim,,Casa,Residencial,646,266.0,110.0,0.0
384/2,"Casa No Jffgjgfjjfgjf, Asdadasdasdasfasfsagasg",Fiadteste Dois,Jffgjgfjjfgjf,Jfgjfgjgf,AC,1,['Gutinho do sorvetinho'],1,Fiadteste Dois,1100.0,10.0,10.0,Não,Sim,2021-12-01,2024-05-31,,,Sim,2,2021-12-01,Sim,,Casa,Residencial,646,266.0,110.0,10.0
uru502/1,"Casa No Centro, Rua Uruguaiana 502 ",Ice T,Centro,Rio De Janeiro,RJ,1,['Little Michael'],1,Ice T,800.0,10.0,,Não,Não,2021-12-01,2024-05-31,,,Sim,1,2021-12-01,Sim,,Casa,Residencial,646,266.0,80.0,
377/1,"Apartamento Triplex No Tô Ai, Jardim Do Não",Olímpio O Japonês,Tô Ai,Pra Você Uai,MG,1,['Gutinho do sorvetinho'],1,Olímpio O Japonês,1000.0,10.0,0.0,Não,Sim,2021-12-01,2024-05-31,,,Sim,1,2021-12-01,Sim,,Apartamento triplex,Residencial,646,266.0,100.0,0.0
376/1,"Casa No Santana, Jardim Das Flores",Olímpio O Japonês,Santana,Campinasu,SC,1,['Gutinho do sorvetinho'],1,Olímpio O Japonês,1000.0,10.0,0.0,Não,Sim,2021-12-01,2024-05-31,,,Sim,1,2021-12-01,Sim,,Casa,Residencial,646,266.0,100.0,0.0
uru501/1,"Casa No Centro, Rua Uruguaiana 501 ",Peter Cetera,Centro,Rio De Janeiro,RJ,1,['Little Michael'],1,Peter Cetera,2800.0,1000.0,0.0,Sim,Não,2021-12-01,2024-05-31,0.0,,Sim,1,2021-12-01,Sim,,Casa,Residencial,646,266.0,1000.0,0.0
344/1,"Apartamento Duplex No Jardim Dos Oliveiras, Rua Tupã 987987 ",Beneficiario 0001,Jardim Dos Oliveiras,Campinas,SP,1,['Aline Freitas'],1,Beneficiario 0001,1000.0,0.0,0.0,Não,Sim,2021-12-01,2024-05-31,,,Sim,1,2021-12-01,Sim,,Apartamento duplex,Residencial,646,266.0,0.0,0.0
336/1,"Barracão No Jardim Recanto Dos Sonhos, Rua Paulo Francisco Ferraz 160A ",Samuel Benício Farias,Jardim Recanto Dos Sonhos,Sumaré,SP,1,['Aline Freitas'],2,Samuel Benício Farias,7800.0,10.0,0.0,Não,Sim,2021-12-01,2024-05-31,,,Sim,1,2021-12-01,Sim,,Barracão,Residencial,646,266.0,780.0,0.0
